"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 15 04:09:44 UTC 2024","Fri Mar 15 04:09:50 UTC 2024","6208","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Mar 15 04:00:55 UTC 2024","Fri Mar 15 04:05:03 UTC 2024","247258","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Mar 15 02:42:24 UTC 2024","Fri Mar 15 02:42:29 UTC 2024","4546","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Mar 15 02:36:19 UTC 2024","Fri Mar 15 02:36:26 UTC 2024","7623","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Mar 15 04:09:28 UTC 2024","Fri Mar 15 04:09:44 UTC 2024","16061","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Mar 15 05:10:08 UTC 2024","Fri Mar 15 05:10:11 UTC 2024","2748","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Mar 15 02:39:09 UTC 2024","Fri Mar 15 02:39:14 UTC 2024","4842","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Mar 15 02:22:46 UTC 2024","Fri Mar 15 02:23:10 UTC 2024","24698","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Mar 15 02:24:42 UTC 2024","Fri Mar 15 02:25:42 UTC 2024","59364","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Mar 15 02:56:40 UTC 2024","Fri Mar 15 02:57:06 UTC 2024","25553","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Mar 15 03:22:51 UTC 2024","Fri Mar 15 03:23:01 UTC 2024","10728","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
